Institution,n,n_surveyed,n_staff,n_pgr
University of Bristol,206,557,307,250
Cardiff University,22,399,190,209
University of East Anglia,139,NA,NA,NA
University of Edinburgh,105,457,NA,NA
University of Glasgow,71,776,NA,NA
Keele University,24,154,NA,NA
King's College London,42,1000,500,500
University of Leeds,28,363,NA,NA
University of Liverpool,76,459,232,227
Newcastle University,77,503,246,257
University of Oxford,240,1681,900,781
Oxford Brookes University,31,101,NA,NA
University of Reading,35,227,NA,NA
Royal Veterinary College,43,400,NA,NA
University of Sheffield,87,292,NA,NA
University of Southampton,108,NA,NA,NA
University of Surrey,23,150+,150,?
University of Sussex,14,194,NA,NA
University College London (UCL),161,NA,NA,NA
University of Wolverhampton,15,NA,NA,NA
